"Temperature","Light","Time","Replicate"
"4","L",280,1
"4","L",280,2
"4","L",280,3
"4","L",280,4
"4","L",280,5
"4","L",280,6
"4","L",300,1
"4","L",300,2
"4","L",300,3
"4","L",300,4
"4","L",300,5
"4","L",300,6
"4","L",320,1
"4","L",320,2
"4","L",320,3
"4","L",320,4
"4","L",320,5
"4","L",320,6
"4","L",340,1
"4","L",340,2
"4","L",340,3
"4","L",340,4
"4","L",340,5
"4","L",340,6
"4","L",360,1
"4","L",360,2
"4","L",360,3
"4","L",360,4
"4","L",360,5
"4","L",640,1
"4","L",640,2
"4","L",640,3
"4","L",640,4
"4","L",640,5
"4","L",640,6
"4","L",1280,1
"4","L",1280,2
"4","L",1280,3
"4","L",1280,4
"4","L",1280,5
"4","L",1280,6
"4","D",5,1
"4","D",5,2
"4","D",5,3
"4","D",5,4
"4","D",5,5
"4","D",10,1
"4","D",10,2
"4","D",10,3
"4","D",10,4
"4","D",10,5
"4","D",10,6
"4","D",20,1
"4","D",20,2
"4","D",20,3
"4","D",20,4
"4","D",20,5
"4","D",20,6
"4","D",40,1
"4","D",40,2
"4","D",40,3
"4","D",40,4
"4","D",40,5
"4","D",40,6
"4","D",60,1
"4","D",60,2
"4","D",60,3
"4","D",60,4
"4","D",60,5
"4","D",60,6
"4","D",80,1
"4","D",80,2
"4","D",80,3
"4","D",80,4
"4","D",80,5
"4","D",80,6
"4","D",100,1
"4","D",100,2
"4","D",100,3
"4","D",100,4
"4","D",100,5
"4","D",100,6
"4","D",120,1
"4","D",120,2
"4","D",120,3
"4","D",120,4
"4","D",120,5
"4","D",140,1
"4","D",140,2
"4","D",140,3
"4","D",140,4
"4","D",140,5
"4","D",140,6
"4","D",160,1
"4","D",160,2
"4","D",160,3
"4","D",160,4
"4","D",160,5
"4","D",160,6
"4","D",180,1
"4","D",180,2
"4","D",180,3
"4","D",180,4
"4","D",180,5
"4","D",200,1
"4","D",200,2
"4","D",200,3
"4","D",200,4
"4","D",200,5
"4","D",200,6
"4","D",220,1
"4","D",220,2
"4","D",220,3
"4","D",220,4
"4","D",220,5
"4","D",220,6
"4","D",240,1
"4","D",240,2
"4","D",240,3
"4","D",240,4
"4","D",240,5
"4","D",240,6
"4","D",260,1
"4","D",260,2
"4","D",260,3
"4","D",260,4
"4","D",260,5
"4","D",260,6
"4","D",280,1
"4","D",280,2
"4","D",280,3
"4","D",280,4
"4","D",280,5
"4","D",280,6
"4","D",300,1
"4","D",300,2
"4","D",300,3
"4","D",300,4
"4","D",300,5
"4","D",300,6
"4","D",320,1
"4","D",320,2
"4","D",320,3
"4","D",320,4
"4","D",320,5
"4","D",320,6
"4","D",340,1
"4","D",340,2
"4","D",340,3
"4","D",340,4
"4","D",340,5
"4","D",340,6
"4","D",360,1
"4","D",360,2
"4","D",360,3
"4","D",360,4
"4","D",360,5
"4","D",360,6
"4","D",640,1
"4","D",640,2
"4","D",640,3
"4","D",640,4
"4","D",640,5
"4","D",640,6
"4","D",1280,1
"4","D",1280,2
"4","D",1280,3
"4","D",1280,4
"4","D",1280,5
"4","D",1280,6
"32","L",5,1
"32","L",5,2
"32","L",5,3
"32","L",5,4
"32","L",5,5
"32","L",5,6
"32","L",10,1
