Transcripts ID	Gene name
Os11t0587000-01	D27
Os09t0321200-00	OsCCD7
Os01t0746400-01	OsCCD8
Os04t0550600-01	OsZAS
Os03t0408600-01	OsNSP1
Os03t0263300-01	OsNSP2
Os01t0700900-02	MAX1-Os900
Os01t0701400-01	MAX1-Os1400
Os01t0701500-01	MAX1-Os1500
Os02g0221900	MAX1-Os1900
Os06g0565100	MAX1-Os5100
Os01t0609300-01	PDR
Os11t0104300-01	D53
Os03t0203200-01	D14
Os06t0154200-01	D3
